organisationunitname,Diabetes Mellitus 2024,Diabetes Mellitus 2023,Diabetes Mellitus 2025
Ablekuma Central,2150,1789,839
Ablekuma North,1686,1111,267
Ablekuma West,2550,2338,500
Accra Metro,4095,6042,1195
Ada East,102,136,14
Ada West,167,158,10
Adentan,1733,1812,356
Ashaiman,2841,7739,459
Ayawaso Central,951,772,123
Ayawaso East,40,481,46
Ayawaso North,582,658,64
Ayawaso West,5422,3134,649
Ga Central,1055,1346,106
Ga East,1758,2315,404
Ga North,1783,2061,340
Ga South,1080,592,384
Ga West,1233,1078,280
Greater Accra,53763,52184,9697
Korle-Klottey,4863,4187,228
Kpone-Katamanso,2052,2295,210
Krowor,591,627,71
La-Dade-Kotopon,3323,878,356
La-Nkwantanang-Madina,2154,488,610
Ledzokuku,1345,1309,86
Ningo Prampram,790,396,58
Okai Koi North,2817,1564,459
Shai-Osudoku,237,145,63
Tema,2752,2949,791
Tema West,2484,2514,560
Weija-Gbawe,1127,1270,169
