organisationunitname,Meningitis - Female 2023,Meningitis - Female 2024,Meningitis - Female 2025,Meningitis - Male 2023,Meningitis - Male 2024,Meningitis - Male 2025
Accra Metro,1.0,1.0,,2.0,,
Adentan,,,,,3.0,
Ashaiman,1.0,,,2.0,,
Ayawaso West,3.0,96.0,,2.0,69.0,
Ga East,,,1.0,,,
Ga South,1.0,,,1.0,,
Ga West,,1.0,,,1.0,
Greater Accra,19.0,104.0,4.0,22.0,78.0,5.0
Korle-Klottey,1.0,1.0,,,1.0,
Kpone-Katamanso,1.0,1.0,,,1.0,
Krowor,,,,,1.0,
La-Nkwantanang-Madina,,1.0,,1.0,,
Okai Koi North,1.0,,,2.0,,
Shai-Osudoku,2.0,,,1.0,,
Tema,,,,1.0,,
Tema West,7.0,2.0,3.0,10.0,,5.0
Weija-Gbawe,1.0,1.0,,,2.0,
